PRICE,AREA
44 L,960
31.5 L,750
32 L,700
26 L,730
21 L,670
40 L,1100
30 L,750
41.5 L,900
38 L,800
59.5 L,1330
39 L,868
62 L,1130
50 L,980
77 L,1187
70 L,1200
98 L,1000
1.32 Cr,1947
63 L,1180
62 L,1080
1.1 Cr,1290
63 L,1280
44 L,795
1.1 Cr,2450
65 L,1128
67 L,1128
64.5 L,1128
22.8 L,800
23 L,769
27 L,809
32.14 L,1128
2.1 Cr,1843
70 L,1250
65 L,1250
1.3 Cr,1555
76 L,945
2.2 Cr,1930
95 L,1555
1.2 Cr,1255
85 L,1600
44 L,1069
43 L,931
1.35 Cr,1998
27.97 L,849
43.49 L,1094
55 L,1370
51.75 L,1036
68.88 L,1379
75.74 L,1424
75.89 L,1379
57 L,1036
78.23 L,1424
58.82 L,1036
2.2 Cr,2600
27.5 L,919
35.35 L,1220
24 L,791
18.45 L,613
18.7 L,614
18.5 L,615
18.5 L,614
27 L,919
27.5 L,924
28.5 L,919
32.5 L,1171
80 L,1060
79.7 L,1132
79.36 L,1132
1.64 Cr,1838
35 L,925
54 L,813
80 L,1311
1.16 Cr,1390
1.18 Cr,1535
83 L,930
48 L,880
76 L,1380
60 L,1234
55 L,1140
50 L,954
43 L,925
75 L,1266
83 L,1358
63 L,1058
56 L,952
47 L,837
69 L,1250
78 L,1460
65 L,1130
52 L,960
1.67 Cr,1970
1.24 Cr,1435
1.14 Cr,1325
60 L,1300
67 L,1400
1.01 Cr,996
1.42 Cr,1457
1.42 Cr,1476
1.01 Cr,996
1.02 Cr,996
1.42 Cr,1476
1.42 Cr,1476
1.34 Cr,1476
1.36 Cr,1476
1.35 Cr,1476
1.41 Cr,1476
4.25 Cr,3029
53 L,843
53.5 L,843
52 L,813
53 L,765
52 L,765
53 L,700
54 L,906
66 L,983
65 L,983
67 L,1400
52 L,1094
59 L,1136
52 L,1100
65 L,1173
61 L,1300
2.6 Cr,2560
2.6 Cr,2525
48 L,1365
58.5 L,1300
52 L,1150
50.1 L,1101
54.19 L,1191
42.63 L,937
39.68 L,872
76.5 L,1700
52 L,1150
24.02 L,858
65.93 L,1465
38 L,850
1.08 Cr,1833
65 L,1200
70.1 L,1130
65 L,1045
1.1 Cr,1833
35 L,950
49.5 L,1205
63 L,1227
65 L,1200
71.5 L,1402
82 L,1486
55 L,880
36 L,973
53 L,1137
73 L,1230
16 L,460
26 L,800
65.6 L,1600
33.83 L,825
43.05 L,1050
33.54 L,818
51 L,1140
90.72 L,2016
37 L,1106
31.65 L,772
39 L,951
58.21 L,1386
48 L,1100
41 L,850
24 L,570
20 L,500
2.2 Cr,2800
76 L,1285
85 L,1195
55 L,770
90 L,1319
40.57 L,1357
